TIMESTAMP,amount
1737387527,539693373.00
1737392435,539693373.00
1737456299,622070861.00
1737471671,622070861.00
1737478835,622070861.00
1737541847,705623904.00
1737541847,705623904.00
1737541847,705623904.00
1737541847,705623904.00
1737541847,705623904.00
1737555851,705623904.00
1737558035,705623904.00
1737565235,705623904.00
1737644435,789176947.00
1737651647,789176947.00
1737712631,861210104.00
1737722663,861210104.00
1737730847,861210104.00
1737732119,861210104.00
1737738035,861210104.00
1737817235,965406785.00
1737824387,965406785.00
1737903587,1048959828.00
1737910787,1048959828.00
1737964979,1132512871.00
1738073723,1223737383.00
1738075283,1223737383.00
1738076387,1223737383.00
1738083587,1223737383.00
1738156955,1324720559.00
1738162787,1324720559.00
1738169987,1324720559.00
1738249187,1431382437.00
1738256399,1431382437.00
1738330079,1549939757.00
1738331207,1549939757.00
1738335587,1549939757.00
1738342787,1549939757.00
1738421987,1685176497.00
1738429187,1685176497.00
1738508387,1820413237.00
1738515587,1820413237.00
1738523543,1820413237.00
1738568483,1955649977.00
1738570307,1955649977.00
1738587299,1955649977.00
1738588391,1955649977.00
1738593359,1955649977.00
1738594787,1955649977.00
1738601987,1955649977.00
1738608707,1955649977.00
1738681187,2090886717.00
1738688387,2090886717.00
1738767587,2226123457.00
1738776587,2226123457.00
1738783031,2226123457.00
1738853987,2361360197.00
1738940387,2496596937.00
1738941491,2496596937.00
1739026787,2632860715.00
1739035787,2632860715.00
1739113187,2769124493.00
1739120387,2769124493.00
1739177651,2905388271.00
1739199587,2905388271.00
1739211671,2905388271.00
1739285987,3041652049.00
1739352695,3177915827.00
1739372387,3177915827.00
1739395055,3177915827.00
1739395175,3177915827.00
1739462087,3318142261.00
1739467019,3318142261.00
1739545187,3458368695.00
1739552735,3458368695.00
1739631575,3598595129.00
1739633327,3598595129.00
1739643359,3598595129.00
1739725427,3817423312.00
1739784263,4036251495.00
1739784263,4036251495.00
1739787707,4036251495.00
1739788187,4036251495.00
1739789771,4036251495.00
1739791547,4036251495.00
1739804387,4036251495.00
1739813495,4036251495.00
1739890787,4064945748.00
1739898443,4064945748.00
1739953199,4091450481.00
1739977187,4091450481.00
1739985503,3938594279.38
1739985875,3938594279.38
1739985947,3938594279.38
1740057719,3958497978.77
1740063587,3958497978.77
1740070787,3958497978.77
1740149987,4731974391.74
1740157187,4731974391.74
1740236171,4831980378.88
1740243587,4831980378.88
1740322703,4912178801.20
1740329987,4912178801.20
1740409187,4992656622.41
1740416387,4992656622.41
1740422543,4992656622.41
1740423323,4992656622.41
1740491639,5073134442.69
1740492467,5073134442.69
1740495587,5073134442.69
1740502787,5073134442.69
1740589187,5151565668.93
1740675587,5230005027.36
1740761987,5308444385.78
1740848387,5386883745.90
1740934799,5465320975.62
1741021187,5543758209.19
1741107587,5821400303.10
1741193987,5900580402.50
1741280387,5903641292.60
1741452875,5909763072.49
1741539587,5912823962.85
1741625987,5915884856.99
1741712387,5918945742.00
1741798787,5923464295.00
1741885187,5926525367.00
1741971587,5929586441.00
1742057987,5932800742.00
1742144123,5935861639.00
1742317187,5941983443.00
1742403587,5945044344.00
1742489987,5948105242.00
1742576387,5951166139.00
1742662787,5954060128.00
1742749187,5957110350.00
1742835587,5960082460.00
1742921987,5976439706.00
1742980163,6011064407.00
1742983787,6011064407.00
1743001187,6011064407.00
1743015551,6011064407.00
1743064727,6045689109.00
1743085067,6045689109.00
1743087575,6045689109.00
1743094787,6045689109.00
1743152087,6080225817.00
1743171527,6080225817.00
1743173975,6080225817.00
1743178367,6080225817.00
1743181187,6080225817.00
1743193871,6080225817.00
1743193943,6080225817.00
1743201095,6080225817.00
1743201455,6080225817.00
1743260387,6128036495.00
1743267587,6128036495.00
1743343187,6175847174.00
1743350387,6175847174.00
1743429587,6223657853.00
1743436787,6223657853.00
1743502139,6271471259.00
1743515987,6271471259.00
1743523187,6271471259.00
1743602387,6319281938.00
1743609587,6319281938.00
1743688787,6367092617.00
1743691739,6367092617.00
1743695987,6367092617.00
1743775187,6414903295.00
1743782387,6414903295.00
1743924851,6510524652.00
1743947987,6510524652.00
1743955187,6510524652.00
1744034387,6558335331.00
1744041599,6558335331.00
1744120787,6637256749.00
1744127987,10781792342.00
1744192727,10949550771.00
1744207067,10949550771.00
1744211819,10949550771.00
1744212479,10949550771.00
1744212479,10949550771.00
1744214387,10949550771.00
1744215143,10949550771.00
1744215743,10949550771.00
1744216043,10949550771.00
1744216679,10949550771.00
1744216895,10949550771.00
1744216919,10949550771.00
1744219175,10949550771.00
1744219187,10949550771.00
1744219223,10949550771.00
1744219223,10949550771.00
1744219223,10949550771.00
1744219235,10949550771.00
1744293479,11116886833.00
1744298327,11116886833.00
1744300787,11116886833.00
1744351571,11284222895.00
1744352627,11284222895.00
1744353131,11284222895.00
1744379987,11284222895.00
1744387187,11284222895.00
1744466387,11449413363.00
1744473587,11449413363.00
1744552787,11614603830.00
1744559987,11614603830.00
1744639187,11779794297.00
1744646387,11779794297.00
1744698971,11919915174.00
1744699127,11919915174.00
1744711511,11919915174.00
1744725587,11919915174.00
1744732787,11919915174.00
1744819187,12083854907.00
1744844291,12083854907.00
1744898087,12247794639.00
1744905587,12247794639.00
1744984787,12382644668.00
1744991987,12382644668.00
1745061515,12517494697.00
1745071139,12517494697.00
1745078387,12517494697.00
1745157599,12652344724.00
1745164787,12652344724.00
1745243987,12787194754.00
1745251187,12787194754.00
1745330387,12922044784.00
1745337443,12922044784.00
1745391623,13033130419.00
1745416787,13033130419.00
1745423987,13033130419.00
1745424359,13033130419.00
1745503187,13124291827.00
1745510387,13124291827.00
1745591831,13215453235.00
1745596787,13215453235.00
1745599667,13215453235.00
1745600771,13215453235.00
1745609723,13215453235.00
1745610635,13215453235.00
1745611787,13215453235.00
1745675987,13306614641.00
1745683187,13306614641.00
1745738471,13397776049.00
1745762387,13397776049.00
1745769587,13397776049.00
1746202427,13853583086.00
1746280787,13944744494.00
1746287987,13944744494.00
1746367187,14035905900.00
1746374387,14035905900.00
1746420155,14127067308.00
1746433595,14127067308.00
1746445019,14127067308.00
1746453587,14127067308.00
1746460787,14127067308.00
1746539987,14218228716.00
1746547187,14218228716.00
1746626387,14309390123.00
1746633587,14309390123.00
1746712775,14400551531.00
1746717827,14400551531.00
1746717983,14400551531.00
1746719987,14400551531.00
1746778451,14491712937.00
1746780599,14491712937.00
1746785363,14491712937.00